id,Unnamed: 0,Source,worth,worthChange,realTimeWorth,realTimePosition
4656,52,Technology  ==> Amazon,112.0 BUSD,0.0 millions USD,,1
1874,53,Technology  ==> Microsoft,90.0 BUSD,-0.001 millions USD,,2
6703,54,Finance and Investments  ==> Berkshire Hathaway,84.0 BUSD,-0.002 millions USD,,3
2637,55,Fashion & Retail  ==> LVMH,72.0 BUSD,0.0 millions USD,,4
8242,56,Technology  ==> Facebook,71.0 BUSD,0.0 millions USD,,5
9133,57,Fashion & Retail  ==> Zara,70.0 BUSD,0.0 millions USD,,6
3663,58,Telecom  ==> telecom,67.1 BUSD,0.001 millions USD,,7
5909,59,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,12
9549,60,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,13
2989,61,Technology  ==> software,58.5 BUSD,-0.001 millions USD,,8
6660,62,Media & Entertainment  ==> Bloomberg LP,50.0 BUSD,0.0 millions USD,,11
3915,63,Technology  ==> Google,48.8 BUSD,0.0 millions USD,,9
9455,64,Technology  ==> Google,47.5 BUSD,0.0 millions USD,,10
3819,65,Fashion & Retail  ==> Walmart,46.4 BUSD,0.0 millions USD,,19
6275,66,Fashion & Retail  ==> Walmart,46.2 BUSD,0.0 millions USD,,20
5873,67,Fashion & Retail  ==> Walmart,46.0 BUSD,0.0 millions USD,,21
2101,68,Technology  ==> internet media,45.3 BUSD,0.001 millions USD,,15
3059,69,Fashion & Retail  ==> L'Oreal,42.2 BUSD,0.0 millions USD,,14
9144,70,"Energy  ==> petrochemicals, oil & gas",40.1 BUSD,0.0 millions USD,,17
1251,71,Technology  ==> e-commerce,39.0 BUSD,0.0 millions USD,,18
8666,72,Gambling & Casinos  ==> casinos,38.5 BUSD,0.0 millions USD,,16
3229,73,Technology  ==> Microsoft,38.4 BUSD,0.0 millions USD,,22
6437,74,Diversified  ==> diversified,34.9 BUSD,0.001 millions USD,,24
9005,75,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,26
7716,76,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,28
6371,77,Real Estate  ==> real estate,30.0 BUSD,0.0 millions USD,,27
7747,78,Fashion & Retail  ==> supermarkets,29.8 BUSD,0.0 millions USD,,29
4351,79,Fashion & Retail  ==> Nike,29.6 BUSD,0.0 millions USD,,25
3423,80,Food and Beverage  ==> beer,27.4 BUSD,-672.311 millions USD,,30
6166,81,Fashion & Retail  ==> luxury goods,27.0 BUSD,0.0 millions USD,,23
4928,82,Automotive  ==> auto parts,25.3 BUSD,0.0 millions USD,,40
4737,83,"Automotive  ==> BMW, pharmaceuticals",25.0 BUSD,0.0 millions USD,,38
6590,84,Media & Entertainment  ==> media,25.0 BUSD,0.0 millions USD,,32
8384,85,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,34
3403,86,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,35
9205,87,Finance and Investments  ==> banking,23.5 BUSD,0.0 millions USD,,53
7639,88,"Food and Beverage  ==> Nutella, chocolates",23.0 BUSD,0.0 millions USD,,43
3327,89,Food and Beverage  ==> Red Bull,23.0 BUSD,0.0 millions USD,,33
5484,90,Technology  ==> Dell computers,22.7 BUSD,0.0 millions USD,,36
2851,91,"Telecom  ==> internet, telecom",22.7 BUSD,0.0 millions USD,,42
