Source,worth BUSD, worthChange millions USD,age,gender,country,image,name,position
technology  ==> amazon,112,0,54,male,none,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropx1=755&cropx2=2357&cropy1=494&cropy2=2097,jeff bezos,1
technology  ==> microsoft,90,0,62,none,united states,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropx1=285&cropx2=3498&cropy1=146&cropy2=3360,bill gates,2
finance and investments  ==> berkshire hathaway,84,0,87,male,united states,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropx1=378&cropx2=2650&cropy1=52&cropy2=2322,warren buffett,3
fashion & retail  ==> lvmh,72,0,69,none,none,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropx1=125&cropx2=2852&cropy1=11&cropy2=2736,bernard arnault,4
technology  ==> facebook,71,0,35,male,none,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropx1=419&cropx2=1409&cropy1=53&cropy2=1044,mark zuckerberg,5
fashion & retail  ==> zara,70,0,82,male,none,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropx1=250&cropx2=2266&cropy1=4&cropy2=2019,amancio ortega,6
telecom  ==> telecom,67,0,78,male,mexico,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropx1=247&cropx2=2010&cropy1=226&cropy2=1990,carlos slim helu,7
diversified  ==> koch industries,60,0,82,male,usa,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=53&cropy2=797,charles koch,8
diversified  ==> koch industries,60,0,78,male,none,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropx1=0&cropx2=2400&cropy1=81&cropy2=2481,david koch,9
technology  ==> software,58,0,73,male,none,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropx1=0&cropx2=2000&cropy1=197&cropy2=2198,larry ellison,10
media & entertainment  ==> bloomberg lp,50,0,76,male,none,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=40&cropy2=784,michael bloomberg,11
technology  ==> google,48,0,45,male,none,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropx1=1176&cropx2=2904&cropy1=222&cropy2=1950,larry page,12
technology  ==> google,47,0,44,male,none,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropx1=1399&cropx2=3806&cropy1=290&cropy2=2695,sergey brin,13
fashion & retail  ==> walmart,46,0,70,none,none,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropx1=110&cropx2=516&cropy1=35&cropy2=441,jim walton,14
fashion & retail  ==> walmart,46,0,73,male,none,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropx1=207&cropx2=1915&cropy1=82&cropy2=1791,s. robson walton,15
