Source,worth BUSD, worthChange millions USD
Technology  ==> Amazon,112,0
Technology  ==> Microsoft,90,0
Finance and Investments  ==> Berkshire Hathaway,84,0
Fashion & Retail  ==> LVMH,72,0
Technology  ==> Facebook,71,0
Fashion & Retail  ==> Zara,70,0
Telecom  ==> telecom,67,0
Diversified  ==> Koch Industries,60,0
Diversified  ==> Koch Industries,60,0
Technology  ==> software,58,0
Media & Entertainment  ==> Bloomberg LP,50,0
Technology  ==> Google,48,0
Technology  ==> Google,47,0
Fashion & Retail  ==> Walmart,46,0
Fashion & Retail  ==> Walmart,46,0
Fashion & Retail  ==> Walmart,46,0
Technology  ==> internet media,45,0
Fashion & Retail  ==> L'Oreal,42,0
"Energy  ==> petrochemicals, oil & gas",40,0
Technology  ==> e-commerce,39,0
Gambling & Casinos  ==> casinos,38,0
Technology  ==> Microsoft,38,0
Diversified  ==> diversified,34,0
Real Estate  ==> real estate,30,0
Real Estate  ==> real estate,30,0
Real Estate  ==> real estate,30,0
Fashion & Retail  ==> supermarkets,29,0
Fashion & Retail  ==> Nike,29,0
Food and Beverage  ==> beer,27,-672
Fashion & Retail  ==> luxury goods,27,0
Automotive  ==> auto parts,25,0
"Automotive  ==> BMW, pharmaceuticals",25,0
Media & Entertainment  ==> media,25,0
"Food and Beverage  ==> candy, pet food",23,0
"Food and Beverage  ==> candy, pet food",23,0
Finance and Investments  ==> banking,23,0
"Food and Beverage  ==> Nutella, chocolates",23,0
Food and Beverage  ==> Red Bull,23,0
Technology  ==> Dell computers,22,0
"Telecom  ==> internet, telecom",22,0
Diversified  ==> diversified,22,0
Automotive  ==> BMW,22,0
Real Estate  ==> real estate,21,0
"Technology  ==> Microsoft, investments",21,0
Fashion & Retail  ==> eyeglasses,21,0
Fashion & Retail  ==> retail,20,0
Finance and Investments  ==> discount brokerage,20,0
"Fashion & Retail  ==> Aldi, Trader Joe's",20,0
Diversified  ==> diversified,20,0
Manufacturing  ==> home appliances,20,0
Gambling & Casinos  ==> casinos,20,0
Finance and Investments  ==> hedge funds,20,0
Diversified  ==> diversified,20,0
Automotive  ==> Tesla Motors,19,0
Diversified  ==> diversified,19,0
Fashion & Retail  ==> fashion retail,19,0
"Metals & Mining  ==> steel, transport",19,0
"Philanthropy/NGO  ==> Apple, Disney",18,0
Technology  ==> software services,18,0
"Metals & Mining  ==> steel, investments",18,0
Diversified  ==> Samsung,18,0
Metals & Mining  ==> steel,18,0
Service  ==> package delivery,18,0
"Energy  ==> gas, chemicals",18,0
"Food and Beverage  ==> drinks, real estate",17,0
Construction & Engineering  ==> construction,17,0
Finance and Investments  ==> hedge funds,17,0
Manufacturing  ==> sensors,17,0
Technology  ==> online games,17,0
"Finance and Investments  ==> banking, tobacco",17,0
Metals & Mining  ==> mining,17,-1
Metals & Mining  ==> mining,17,0
Finance and Investments  ==> investments,16,0
Fashion & Retail  ==> H&M,16,0
"Manufacturing  ==> banking, tobacco",16,0
Real Estate  ==> real estate,16,0
Real Estate  ==> real estate,16,0
Energy  ==> oil,16,0
Manufacturing  ==> chemicals,16,0
Real Estate  ==> real estate,16,0
Metals & Mining  ==> mining,16,0
"Energy  ==> oil, gas",16,0
Finance and Investments  ==> money management,15,0
Metals & Mining  ==> metals,15,0
Fashion & Retail  ==> Walmart,15,0
Food and Beverage  ==> Heineken,15,0
Technology  ==> internet media,15,0
Finance and Investments  ==> banking,15,0
"Energy  ==> coal, fertilizers",15,0
"Real Estate  ==> investments, real estate",15,0
Logistics  ==> shipping,15,0
Automotive  ==> automobiles,15,0
"Energy  ==> oil, banking, telecom",15,0
"Media & Entertainment  ==> newspapers, TV network",15,0
Diversified  ==> diversified,14,0
"Diversified  ==> palm oil, shipping, property",14,0
Food and Beverage  ==> cheese,14,0
Technology  ==> software services,14,0
"Energy  ==> metals, energy",14,0
"Manufacturing  ==> cement, sugar, flour",14,0
Energy  ==> oil & gas,14,0
Finance and Investments  ==> hedge funds,14,0
Technology  ==> Facebook,14,0
Food and Beverage  ==> beer,14,-546
Manufacturing  ==> fasteners,13,0
Media & Entertainment  ==> satellite TV,13,0
Technology  ==> Google,13,0
Finance and Investments  ==> investments,13,0
Media & Entertainment  ==> media,13,0
Media & Entertainment  ==> media,13,0
Fashion & Retail  ==> Chanel,13,0
Fashion & Retail  ==> Chanel,13,0
Fashion & Retail  ==> Estee Lauder,12,0
Construction & Engineering  ==> brakes,12,0
Healthcare  ==> pharmaceuticals,12,0
Technology  ==> software,12,0
Finance and Investments  ==> investments,12,0
Technology  ==> smartphones,12,0
Manufacturing  ==> packaging,12,0
"Metals & Mining  ==> steel, telecom, investments",12,0
Media & Entertainment  ==> media,12,0
Real Estate  ==> real estate,12,0
Finance and Investments  ==> banking,12,0
Technology  ==> internet search,12,0
Food and Beverage  ==> beer,12,-546
Healthcare  ==> biotech,11,0
Diversified  ==> commodities,11,0
Real Estate  ==> real estate,11,0
Fashion & Retail  ==> drugstores,11,-4
Technology  ==> software,11,0
"Metals & Mining  ==> mining, copper products",11,0
"Finance and Investments  ==> banks, real estate",11,0
"Food and Beverage  ==> Oyster sauce, real estate",11,0
Fashion & Retail  ==> home improvement stores,11,0
"Food and Beverage  ==> snacks, beverages",11,0
Technology  ==> security software,11,0
Finance and Investments  ==> video surveillance,11,0
"Fashion & Retail  ==> retail, real estate",11,0
Finance and Investments  ==> hedge funds,11,0
"Diversified  ==> steel, investments",10,0
Technology  ==> e-commerce,10,0
Real Estate  ==> real estate,10,0
Metals & Mining  ==> mining,10,-67
Finance and Investments  ==> banking,10,0
Technology  ==> eBay,10,0
Service  ==> consulting,10,0
Technology  ==> software,10,0
Finance and Investments  ==> investments,10,0
Technology  ==> Facebook,10,0
Real Estate  ==> real estate,10,0
"Finance and Investments  ==> investments, retail",10,0
"Energy  ==> oil, banking, telecom",9,0
Finance and Investments  ==> leveraged buyouts,9,0
"Diversified  ==> commodities, ports",9,0
Service  ==> Carnival Cruises,9,0
Technology  ==> electronics,9,0
Technology  ==> e-commerce,9,0
Healthcare  ==> health care,9,0
Finance and Investments  ==> investments,9,3
Fashion & Retail  ==> retail,9,0
Food and Beverage  ==> beverages,9,0
"Diversified  ==> real estate, shipping",9,9
Finance and Investments  ==> discount brokerage,9,0
Logistics  ==> Shipping,9,0
Manufacturing  ==> plumbing fixtures,9,0
Manufacturing  ==> steel,9,0
Real Estate  ==> real estate,9,0
Finance and Investments  ==> investments,9,0
Diversified  ==> conglomerate,9,0
Technology  ==> WhatsApp,9,0
Healthcare  ==> vaccines,9,0
Technology  ==> software,9,0
Finance and Investments  ==> hedge funds,9,0
Fashion & Retail  ==> luxury goods,8,0
"Healthcare  ==> biotech, investments",8,0
Metals & Mining  ==> steel,8,0
Telecom  ==> telecom,8,0
Media & Entertainment  ==> media,8,0
Media & Entertainment  ==> media,8,0
Media & Entertainment  ==> media,8,0
Technology  ==> electronics,8,0
Technology  ==> Intel,8,0
Diversified  ==> diversified,8,0
"Sports  ==> sports, real estate",8,0
Finance and Investments  ==> investments,8,0
Gambling & Casinos  ==> gambling,8,0
Diversified  ==> conglomerate,8,0
Media & Entertainment  ==> cable television,8,0
"Telecom  ==> internet, telecom",8,0
Diversified  ==> media,8,0
Healthcare  ==> medical devices,8,0
"Media & Entertainment  ==> movies, record labels",8,0
Real Estate  ==> real estate,8,0
Real Estate  ==> real estate,8,0
Finance and Investments  ==> hedge funds,8,0
Finance and Investments  ==> money management,7,0
Healthcare  ==> pharmaceuticals,7,0
Technology  ==> business software,7,0
"Energy  ==> oil & gas, banking",7,0
Healthcare  ==> pharmaceuticals,7,-20
Technology  ==> smartphone screens,7,0
Metals & Mining  ==> diamonds,7,0
Healthcare  ==> pharmaceuticals,7,0
Real Estate  ==> real estate,7,0
"Energy  ==> oil, banking, telecom",7,0
Real Estate  ==> real estate,7,0
Finance and Investments  ==> investments,7,0
Food and Beverage  ==> Cargill,7,0
Diversified  ==> Samsung,7,0
Fashion & Retail  ==> fashion retail,7,0
Finance and Investments  ==> investments,7,0
"Energy  ==> hotels, energy",7,0
"Metals & Mining  ==> mining, metals, machinery",7,0
Healthcare  ==> health care,7,0
Real Estate  ==> real estate,7,0
Fashion & Retail  ==> Walmart,7,0
Automotive  ==> auto parts,7,0
"Telecom  ==> telecoms, media, oil-services",7,0
Energy  ==> oil,7,0
"Diversified  ==> banking, property",7,0
Real Estate  ==> real estate,7,0
Technology  ==> venture capital,7,0
Telecom  ==> telecom,7,0
Food and Beverage  ==> beverages,7,0
Construction & Engineering  ==> Construction,7,0
"Fashion & Retail  ==> retail, media",7,0
Fashion & Retail  ==> cosmetics,7,0
Finance and Investments  ==> financial services,7,0
Logistics  ==> shipping,7,0
Manufacturing  ==> paints,7,0
Manufacturing  ==> polyester,7,0
Real Estate  ==> real estate,7,0
Food and Beverage  ==> packaging,7,0
Fashion & Retail  ==> luxury goods,7,0
Logistics  ==> shipping,7,0
Food and Beverage  ==> wine,7,0
Energy  ==> oil,6,0
Technology  ==> online games,6,0
Fashion & Retail  ==> Zara,6,0
Diversified  ==> diversified,6,0
Finance and Investments  ==> hedge funds,6,0
Real Estate  ==> real estate,6,0
Fashion & Retail  ==> retail,6,0
Fashion & Retail  ==> supermarkets,6,0
Manufacturing  ==> fertilizer,6,0
"Food and Beverage  ==> food, beverages",6,0
Technology  ==> Google,6,0
"Metals & Mining  ==> aluminum, utilities",6,0
Service  ==> diversified,6,0
Finance and Investments  ==> pharmaceuticals,6,0
Technology  ==> WhatsApp,6,0
Finance and Investments  ==> private equity,6,0
Fashion & Retail  ==> Walmart,6,0
Food and Beverage  ==> candy,6,0
Food and Beverage  ==> packaging,6,0
Food and Beverage  ==> packaging,6,0
"Fashion & Retail  ==> retail, real estate",6,0
"Construction & Engineering  ==> construction, chemicals",6,0
Finance and Investments  ==> banking,6,0
Energy  ==> wind turbines,6,0
Finance and Investments  ==> private equity,6,0
Metals & Mining  ==> mining,6,0
Finance and Investments  ==> hedge funds,6,0
Automotive  ==> automobiles,6,0
Real Estate  ==> real estate,6,0
Fashion & Retail  ==> retail,6,0
Media & Entertainment  ==> advertising,6,0
Finance and Investments  ==> investments,6,0
Real Estate  ==> real estate,6,0
Food and Beverage  ==> soy sauce maker,6,0
Finance and Investments  ==> hedge funds,6,0
Real Estate  ==> real estate,6,0
Real Estate  ==> real estate,6,0
Food and Beverage  ==> consumer goods,6,0
Healthcare  ==> optometry,6,0
Finance and Investments  ==> Quicken Loans,6,0
Diversified  ==> diversified,6,0
Automotive  ==> motorcycles,6,0
Real Estate  ==> real estate,6,0
Automotive  ==> auto parts,6,0
Finance and Investments  ==> investments,6,0
Energy  ==> pipelines,6,0
Sports  ==> New England Patriots,6,0
Fashion & Retail  ==> Ralph Lauren,6,-3
Finance and Investments  ==> banking,6,0
Food and Beverage  ==> consumer goods,6,0
Service  ==> food services,6,0
Fashion & Retail  ==> retail,6,-1
Manufacturing  ==> cement,6,0
Technology  ==> Google,6,0
"Fashion & Retail  ==> textiles, apparel",6,0
Food and Beverage  ==> Cargill,6,0
Diversified  ==> diversified,6,0
Automotive  ==> auto parts,6,0
Finance and Investments  ==> banking,6,0
Diversified  ==> diversified,5,4
"Food and Beverage  ==> beer, investments",5,0
Technology  ==> internet service provider,5,0
Real Estate  ==> shopping malls,5,0
Healthcare  ==> pharmaceuticals,5,0
"Food and Beverage  ==> candy, pet food",5,0
"Food and Beverage  ==> candy, pet food",5,0
"Food and Beverage  ==> candy, pet food",5,0
"Food and Beverage  ==> candy, pet food",5,0
"Diversified  ==> media, retail",5,0
Diversified  ==> food and beverage,5,0
Technology  ==> online games,5,0
Fashion & Retail  ==> Walmart,5,0
Real Estate  ==> real estate,5,0
Fashion & Retail  ==> retail & gas stations,5,0
Energy  ==> investments,5,0
"Logistics  ==> construction, mining",5,0
Manufacturing  ==> furniture,5,0
Fashion & Retail  ==> appliance retailer,5,0
Food and Beverage  ==> tequila,5,0
Technology  ==> computer hardware,5,0
Technology  ==> computer hardware,5,0
Manufacturing  ==> heating equipment,5,0
Manufacturing  ==> metalworking tools,5,0
Healthcare  ==> medical devices,5,0
Manufacturing  ==> vacuums,5,0
Fashion & Retail  ==> diamond jewelry,5,0
Technology  ==> semiconductors,5,0
Finance and Investments  ==> money management,5,0
Sports  ==> Dallas Cowboys,5,0
Real Estate  ==> real estate,5,0
Real Estate  ==> Real Estate,5,0
"Manufacturing  ==> palm oil, property",5,0
Real Estate  ==> real estate,5,0
Manufacturing  ==> motors,5,0
Manufacturing  ==> manufacturing,5,0
Media & Entertainment  ==> publishing,5,0
Manufacturing  ==> electronics,5,0
"Metals & Mining  ==> steel, coal",5,0
Service  ==> Carnival Cruises,5,37
Energy  ==> pipelines,5,0
Manufacturing  ==> chemicals,5,0
Manufacturing  ==> chemicals,5,0
Energy  ==> pipelines,5,0
Energy  ==> pipelines,5,0
Construction & Engineering  ==> roofing,5,0
Manufacturing  ==> chemicals,5,0
Fashion & Retail  ==> online retail,5,0
Gambling & Casinos  ==> videogames,5,0
"Real Estate  ==> real estate, finance",5,0
Manufacturing  ==> manufacturing,5,0
Manufacturing  ==> chemicals,5,0
Energy  ==> pipelines,5,0
Service  ==> after-school tutoring,5,0
Metals & Mining  ==> aluminum products,5,0
Food and Beverage  ==> cheese,5,0
Food and Beverage  ==> cheese,5,0
Service  ==> Amway,5,0
Fashion & Retail  ==> coffee,5,0
Fashion & Retail  ==> coffee,5,0
Manufacturing  ==> Lego,5,0
Manufacturing  ==> Lego,5,0
Manufacturing  ==> Lego,5,0
Manufacturing  ==> smartphone screens,5,0
Technology  ==> electronics,5,0
Food and Beverage  ==> commodities,5,0
Finance and Investments  ==> private equity,5,0
Real Estate  ==> real estate,5,0
Manufacturing  ==> Lego,5,0
"Diversified  ==> telecom, oil",5,0
Manufacturing  ==> New Balance,5,0
Technology  ==> Yahoo,5,530
Gambling & Casinos  ==> casinos,5,0
Finance and Investments  ==> private equity,5,0
Food and Beverage  ==> cheese,5,0
"Manufacturing  ==> chemicals, logistics",5,0
"Metals & Mining  ==> steel, mining",5,0
Finance and Investments  ==> hedge funds,5,0
Service  ==> temp agency,5,0
"Food and Beverage  ==> pizza, sports team",5,0
Finance and Investments  ==> hedge funds,5,0
Media & Entertainment  ==> Star Wars,5,0
Media & Entertainment  ==> media,5,0
Media & Entertainment  ==> publishing,5,0
Food and Beverage  ==> frozen foods,5,0
"Automotive  ==> batteries, automobiles",5,0
"Diversified  ==> energy, investments",5,0
"Energy  ==> oil, banking, telecom",5,0
Fashion & Retail  ==> Home Depot,5,0
"Diversified  ==> banking, minerals",5,0
Logistics  ==> FedEx,5,0
Healthcare  ==> medical equipment,5,0
Diversified  ==> Virgin,5,0
Media & Entertainment  ==> media,5,0
Gambling & Casinos  ==> online gambling,5,0
"Media & Entertainment  ==> book distribution, transportation",5,0
Real Estate  ==> real estate,5,0
Finance and Investments  ==> investments,5,0
Manufacturing  ==> appliances,5,0
"Diversified  ==> banking, minerals",5,0
"Diversified  ==> banking, minerals",5,0
"Finance and Investments  ==> banking, minerals",5,0
Healthcare  ==> pharmaceuticals,5,0
"Service  ==> hotels, investments",5,0
Construction & Engineering  ==> cement,5,0
Fashion & Retail  ==> duty-free,5,0
Manufacturing  ==> diapers,5,0
Fashion & Retail  ==> retail,5,0
"Energy  ==> oil, investments",4,0
Technology  ==> business software,4,0
"Construction & Engineering  ==> construction, media",4,0
Automotive  ==> motor vehicles,4,0
Media & Entertainment  ==> cable television,4,0
"Energy  ==> oil, real estate",4,0
Service  ==> agribusiness,4,0
Finance and Investments  ==> hedge funds,4,0
Healthcare  ==> pharmaceuticals,4,0
Logistics  ==> ports,4,0
Media & Entertainment  ==> media,4,0
Metals & Mining  ==> pipe manufacturing,4,0
Healthcare  ==> medical devices,4,0
Finance and Investments  ==> hedge funds,4,0
Metals & Mining  ==> steel,4,0
Finance and Investments  ==> mining,4,0
"Real Estate  ==> real estate, private equity",4,0
Fashion & Retail  ==> fashion retail,4,0
Diversified  ==> diversified,4,0
Technology  ==> Uber,4,0
Food and Beverage  ==> Chick-fil-A,4,0
Food and Beverage  ==> Chick-fil-A,4,0
Technology  ==> surveillance equipment,4,0
Fashion & Retail  ==> fashion retail,4,0
"Energy  ==> oil, real estate",4,0
Finance and Investments  ==> money management,4,0
Technology  ==> Uber,4,0
Metals & Mining  ==> metals,4,0
Fashion & Retail  ==> retail,4,0
Metals & Mining  ==> fertilizer,4,0
Energy  ==> oil & gas,4,0
Gambling & Casinos  ==> online gambling,4,0
Technology  ==> eBay,4,0
Food and Beverage  ==> food,4,0
Finance and Investments  ==> investments,4,0
Finance and Investments  ==> investments,4,0
Finance and Investments  ==> investments,4,0
Manufacturing  ==> auto parts,4,0
Healthcare  ==> hospitals,4,0
Media & Entertainment  ==> record label,4,0
Finance and Investments  ==> hedge funds,4,0
Real Estate  ==> real estate,4,0
Manufacturing  ==> petrochemicals,4,0
Gambling & Casinos  ==> casinos,4,0
Healthcare  ==> medical devices,4,0
"Real Estate  ==> real estate, investments",4,0
Food and Beverage  ==> Cargill,4,0
Food and Beverage  ==> food distribution,4,0
Food and Beverage  ==> food distribution,4,0
Real Estate  ==> real estate,4,0
Real Estate  ==> real estate,4,0
Diversified  ==> diversified,4,0
"Real Estate  ==> real estate, retail",4,0
Food and Beverage  ==> agriculture,4,0
Diversified  ==> biotech,4,0
Real Estate  ==> real estate,4,0
Finance and Investments  ==> investments,4,0
Service  ==> concessions,4,0
Finance and Investments  ==> cryptocurrency,4,0
Manufacturing  ==> paper,4,0
Manufacturing  ==> construction equipment,4,0
Telecom  ==> telecom,4,0
Service  ==> airlines,4,0
Food and Beverage  ==> spirits,4,0
"Telecom  ==> IT, telecom",4,0
Manufacturing  ==> steel,4,0
Manufacturing  ==> fertilizers,4,0
Service  ==> education,4,0
Real Estate  ==> real estate,4,0
Finance and Investments  ==> hedge funds,4,0
Fashion & Retail  ==> retail,4,0
Finance and Investments  ==> banking,4,0
Fashion & Retail  ==> supermarkets,4,0
Technology  ==> software,4,0
Real Estate  ==> real estate,4,0
Healthcare  ==> pharmaceuticals,4,0
Construction & Engineering  ==> construction equipment,4,0
Real Estate  ==> real estate,4,0
Finance and Investments  ==> banking,4,0
Service  ==> hotels,4,0
Metals & Mining  ==> mining,4,0
Gambling & Casinos  ==> gambling,4,0
Service  ==> self storage,4,0
Fashion & Retail  ==> retail,4,0
Fashion & Retail  ==> grocery stores,4,0
Telecom  ==> telecom,4,0
Fashion & Retail  ==> sporting goods retail,4,0
Food and Beverage  ==> dairy,4,0
Fashion & Retail  ==> home furnishings,4,0
Fashion & Retail  ==> consumer goods,4,0
Fashion & Retail  ==> consumer goods,4,0
Fashion & Retail  ==> consumer goods,4,0
Fashion & Retail  ==> consumer goods,4,0
Finance and Investments  ==> private equity,4,0
Food and Beverage  ==> energy drinks,4,0
Fashion & Retail  ==> retail,4,0
Automotive  ==> motorcycles,4,0
Manufacturing  ==> auto parts,4,0
Telecom  ==> telecom,4,0
Fashion & Retail  ==> coffee makers,4,0
"Food and Beverage  ==> Houston Rockets, entertainment",4,0
"Fashion & Retail  ==> retail, real estate",4,0
Energy  ==> natural gas,4,0
Technology  ==> wireless networking gear,4,0
Service  ==> pest control,4,0
Service  ==> pest control,4,0
Food and Beverage  ==> beer,4,0
Food and Beverage  ==> beer,4,0
Diversified  ==> diversified,4,0
Fashion & Retail  ==> retail,4,0
"Sports  ==> staffing, Baltimore Ravens",4,0
Food and Beverage  ==> Cargill,4,0
Food and Beverage  ==> Cargill,4,0
"Manufacturing  ==> timberland, lumber mills",4,0
"Manufacturing  ==> elevators, escalators",4,0
Diversified  ==> diversified,4,0
Fashion & Retail  ==> retail,4,0
Food and Beverage  ==> Cargill,4,0
Technology  ==> Snapchat,4,0
Real Estate  ==> real estate,4,0
"Energy  ==> utilities, telecom",4,0
Finance and Investments  ==> investments,4,0
Energy  ==> natural gas distribution,4,0
Finance and Investments  ==> investments,4,0
Sports  ==> Home Depot,4,0
Diversified  ==> diversified,4,0
Technology  ==> mapping software,4,0
Energy  ==> petrochemicals,4,0
Real Estate  ==> shopping malls,4,0
Fashion & Retail  ==> sunglasses,4,0
Diversified  ==> diversified,4,-19
Real Estate  ==> real estate,4,0
Automotive  ==> motorcycles,4,0
Food and Beverage  ==> candy,4,0
Gambling & Casinos  ==> casinos,4,0
Media & Entertainment  ==> Marvel comics,4,0
"Diversified  ==> computer services, real estate",4,0
