id,Source,worth BUSD, worthChange millions USD
4656,Technology  ==> Amazon,112,0
1874,Technology  ==> Microsoft,90,0
6703,Finance and Investments  ==> Berkshire Hathaway,84,0
2637,Fashion & Retail  ==> LVMH,72,0
8242,Technology  ==> Facebook,71,0
9133,Fashion & Retail  ==> Zara,70,0
3663,Telecom  ==> telecom,67,0
5909,Diversified  ==> Koch Industries,60,0
9549,Diversified  ==> Koch Industries,60,0
2989,Technology  ==> software,58,0
6660,Media & Entertainment  ==> Bloomberg LP,50,0
3915,Technology  ==> Google,48,0
9455,Technology  ==> Google,47,0
3819,Fashion & Retail  ==> Walmart,46,0
6275,Fashion & Retail  ==> Walmart,46,0
5873,Fashion & Retail  ==> Walmart,46,0
2101,Technology  ==> internet media,45,0
3059,Fashion & Retail  ==> L'Oreal,42,0
9144,"Energy  ==> petrochemicals, oil & gas",40,0
1251,Technology  ==> e-commerce,39,0
8666,Gambling & Casinos  ==> casinos,38,0
3229,Technology  ==> Microsoft,38,0
6437,Diversified  ==> diversified,34,0
9005,Real Estate  ==> real estate,30,0
7716,Real Estate  ==> real estate,30,0
6371,Real Estate  ==> real estate,30,0
7747,Fashion & Retail  ==> supermarkets,29,0
4351,Fashion & Retail  ==> Nike,29,0
3423,Food and Beverage  ==> beer,27,-672
6166,Fashion & Retail  ==> luxury goods,27,0
4928,Automotive  ==> auto parts,25,0
4737,"Automotive  ==> BMW, pharmaceuticals",25,0
6590,Media & Entertainment  ==> media,25,0
8384,"Food and Beverage  ==> candy, pet food",23,0
3403,"Food and Beverage  ==> candy, pet food",23,0
9205,Finance and Investments  ==> banking,23,0
7639,"Food and Beverage  ==> Nutella, chocolates",23,0
3327,Food and Beverage  ==> Red Bull,23,0
5484,Technology  ==> Dell computers,22,0
2851,"Telecom  ==> internet, telecom",22,0
7374,Diversified  ==> diversified,22,0
5531,Automotive  ==> BMW,22,0
4838,Real Estate  ==> real estate,21,0
3757,"Technology  ==> Microsoft, investments",21,0
9982,Fashion & Retail  ==> eyeglasses,21,0
1673,Fashion & Retail  ==> retail,20,0
9015,Finance and Investments  ==> discount brokerage,20,0
1901,"Fashion & Retail  ==> Aldi, Trader Joe's",20,0
2061,Diversified  ==> diversified,20,0
1347,Manufacturing  ==> home appliances,20,0
6109,Gambling & Casinos  ==> casinos,20,0
7585,Finance and Investments  ==> hedge funds,20,0
6716,Diversified  ==> diversified,20,0
2370,Automotive  ==> Tesla Motors,19,0
3034,Diversified  ==> diversified,19,0
4473,Fashion & Retail  ==> fashion retail,19,0
1566,"Metals & Mining  ==> steel, transport",19,0
8869,"Philanthropy/NGO  ==> Apple, Disney",18,0
9514,Technology  ==> software services,18,0
4813,"Metals & Mining  ==> steel, investments",18,0
6066,Diversified  ==> Samsung,18,0
1417,Metals & Mining  ==> steel,18,0
1535,Service  ==> package delivery,18,0
3401,"Energy  ==> gas, chemicals",18,0
2094,"Food and Beverage  ==> drinks, real estate",17,0
9350,Construction & Engineering  ==> construction,17,0
2708,Finance and Investments  ==> hedge funds,17,0
2846,Manufacturing  ==> sensors,17,0
9988,Technology  ==> online games,17,0
6475,"Finance and Investments  ==> banking, tobacco",17,0
8590,Metals & Mining  ==> mining,17,-1
5608,Metals & Mining  ==> mining,17,0
7739,Finance and Investments  ==> investments,16,0
9667,Fashion & Retail  ==> H&M,16,0
7532,"Manufacturing  ==> banking, tobacco",16,0
1466,Real Estate  ==> real estate,16,0
5052,Real Estate  ==> real estate,16,0
8959,Energy  ==> oil,16,0
5547,Manufacturing  ==> chemicals,16,0
4353,Real Estate  ==> real estate,16,0
4204,Metals & Mining  ==> mining,16,0
8403,"Energy  ==> oil, gas",16,0
8929,Finance and Investments  ==> money management,15,0
2455,Metals & Mining  ==> metals,15,0
8484,Fashion & Retail  ==> Walmart,15,0
9053,Food and Beverage  ==> Heineken,15,0
1615,Technology  ==> internet media,15,0
8486,Finance and Investments  ==> banking,15,0
3458,"Energy  ==> coal, fertilizers",15,0
4132,"Real Estate  ==> investments, real estate",15,0
5068,Logistics  ==> shipping,15,0
4971,Automotive  ==> automobiles,15,0
8227,"Energy  ==> oil, banking, telecom",15,0
4966,"Media & Entertainment  ==> newspapers, TV network",15,0
7809,Diversified  ==> diversified,14,0
6672,"Diversified  ==> palm oil, shipping, property",14,0
3917,Food and Beverage  ==> cheese,14,0
6221,Technology  ==> software services,14,0
1963,"Energy  ==> metals, energy",14,0
5944,"Manufacturing  ==> cement, sugar, flour",14,0
9147,Energy  ==> oil & gas,14,0
2290,Finance and Investments  ==> hedge funds,14,0
6385,Technology  ==> Facebook,14,0
7840,Food and Beverage  ==> beer,14,-546
4860,Manufacturing  ==> fasteners,13,0
2044,Media & Entertainment  ==> satellite TV,13,0
4328,Technology  ==> Google,13,0
1871,Finance and Investments  ==> investments,13,0
7162,Media & Entertainment  ==> media,13,0
2712,Media & Entertainment  ==> media,13,0
2499,Fashion & Retail  ==> Chanel,13,0
8238,Fashion & Retail  ==> Chanel,13,0
8408,Fashion & Retail  ==> Estee Lauder,12,0
6707,Construction & Engineering  ==> brakes,12,0
8989,Healthcare  ==> pharmaceuticals,12,0
6331,Technology  ==> software,12,0
3789,Finance and Investments  ==> investments,12,0
3946,Technology  ==> smartphones,12,0
7272,Manufacturing  ==> packaging,12,0
4894,"Metals & Mining  ==> steel, telecom, investments",12,0
8706,Media & Entertainment  ==> media,12,0
9361,Real Estate  ==> real estate,12,0
8343,Finance and Investments  ==> banking,12,0
1061,Technology  ==> internet search,12,0
1020,Food and Beverage  ==> beer,12,-546
2862,Healthcare  ==> biotech,11,0
8526,Diversified  ==> commodities,11,0
6776,Real Estate  ==> real estate,11,0
9597,Fashion & Retail  ==> drugstores,11,-4
8655,Technology  ==> software,11,0
2429,"Metals & Mining  ==> mining, copper products",11,0
4916,"Finance and Investments  ==> banks, real estate",11,0
7872,"Food and Beverage  ==> Oyster sauce, real estate",11,0
9328,Fashion & Retail  ==> home improvement stores,11,0
8529,"Food and Beverage  ==> snacks, beverages",11,0
9399,Technology  ==> security software,11,0
6654,Finance and Investments  ==> video surveillance,11,0
2523,"Fashion & Retail  ==> retail, real estate",11,0
3733,Finance and Investments  ==> hedge funds,11,0
9061,"Diversified  ==> steel, investments",10,0
6733,Technology  ==> e-commerce,10,0
1849,Real Estate  ==> real estate,10,0
3127,Metals & Mining  ==> mining,10,-67
1460,Finance and Investments  ==> banking,10,0
3886,Technology  ==> eBay,10,0
4741,Service  ==> consulting,10,0
2141,Technology  ==> software,10,0
1415,Finance and Investments  ==> investments,10,0
1840,Technology  ==> Facebook,10,0
1196,Real Estate  ==> real estate,10,0
4159,"Finance and Investments  ==> investments, retail",10,0
1927,"Energy  ==> oil, banking, telecom",9,0
1036,Finance and Investments  ==> leveraged buyouts,9,0
4081,"Diversified  ==> commodities, ports",9,0
6039,Service  ==> Carnival Cruises,9,0
1948,Technology  ==> electronics,9,0
9216,Technology  ==> e-commerce,9,0
2626,Healthcare  ==> health care,9,0
7334,Finance and Investments  ==> investments,9,3
9873,Fashion & Retail  ==> retail,9,0
2744,Food and Beverage  ==> beverages,9,0
2800,"Diversified  ==> real estate, shipping",9,9
9577,Finance and Investments  ==> discount brokerage,9,0
7790,Logistics  ==> Shipping,9,0
1798,Manufacturing  ==> plumbing fixtures,9,0
8991,Manufacturing  ==> steel,9,0
5790,Real Estate  ==> real estate,9,0
3832,Finance and Investments  ==> investments,9,0
7167,Diversified  ==> conglomerate,9,0
9766,Technology  ==> WhatsApp,9,0
3771,Healthcare  ==> vaccines,9,0
9168,Technology  ==> software,9,0
7654,Finance and Investments  ==> hedge funds,9,0
8878,Fashion & Retail  ==> luxury goods,8,0
8952,"Healthcare  ==> biotech, investments",8,0
3137,Metals & Mining  ==> steel,8,0
5928,Telecom  ==> telecom,8,0
6619,Media & Entertainment  ==> media,8,0
9326,Media & Entertainment  ==> media,8,0
7957,Media & Entertainment  ==> media,8,0
1819,Technology  ==> electronics,8,0
4195,Technology  ==> Intel,8,0
3389,Diversified  ==> diversified,8,0
6379,"Sports  ==> sports, real estate",8,0
4497,Finance and Investments  ==> investments,8,0
8223,Gambling & Casinos  ==> gambling,8,0
1162,Diversified  ==> conglomerate,8,0
9561,Media & Entertainment  ==> cable television,8,0
7050,"Telecom  ==> internet, telecom",8,0
2432,Diversified  ==> media,8,0
4122,Healthcare  ==> medical devices,8,0
4801,"Media & Entertainment  ==> movies, record labels",8,0
6833,Real Estate  ==> real estate,8,0
5685,Real Estate  ==> real estate,8,0
1960,Finance and Investments  ==> hedge funds,8,0
3835,Finance and Investments  ==> money management,7,0
9384,Healthcare  ==> pharmaceuticals,7,0
1425,Technology  ==> business software,7,0
5837,"Energy  ==> oil & gas, banking",7,0
4252,Healthcare  ==> pharmaceuticals,7,-20
9052,Technology  ==> smartphone screens,7,0
1429,Metals & Mining  ==> diamonds,7,0
8356,Healthcare  ==> pharmaceuticals,7,0
