Rank,country,Population, % of World Population,Date,Source_x,age,gender,image,name,position,Source_y,worth BUSD, worthChange millions USD
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,55,Male,https://specials-images.forbesimg.com/imageserve/5a7ccad231358e4955acf931/416x416.jpg?background=000000&cropX1=488&cropX2=1703&cropY1=161&cropY2=1377,li shufu,92,Automotive  ==> automobiles,15,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,48,None,https://specials-images.forbesimg.com/imageserve/5a7cc5bda7ea4316901308f6/416x416.jpg?background=000000&cropX1=15&cropX2=2220&cropY1=44&cropY2=2248,lei jun,118,Technology  ==> smartphones,12,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,48,Male,https://specials-images.forbesimg.com/imageserve/58dbb68531358e58f079d9b2/416x416.jpg?background=000000&cropX1=51&cropX2=956&cropY1=3&cropY2=908,pan zhengmin,156,Technology  ==> electronics,9,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,72,Male,https://specials-images.forbesimg.com/imageserve/5a7d2b4da7ea431690130f47/416x416.jpg?background=000000&cropX1=1007&cropX2=2584&cropY1=236&cropY2=1812,zong qinghou,161,Food and Beverage  ==> beverages,9,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,51,None,https://specials-images.forbesimg.com/imageserve/5a7cb3354bbe6f2652f5081f/416x416.jpg?background=000000&cropX1=0&cropX2=2669&cropY1=0&cropY2=2666,guo guangchang,187,Diversified  ==> conglomerate,8,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,51,None,https://specials-images.forbesimg.com/imageserve/561fad72e4b0ffa7afe5e1cc/416x416.jpg?background=000000&cropX1=24&cropX2=691&cropY1=174&cropY2=841,wang wenxue,221,Real Estate  ==> real estate,7,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,62,None,https://specials-images.forbesimg.com/imageserve/5a8dfa6b4bbe6f2652f62ca0/416x416.jpg?background=000000&cropX1=2&cropX2=877&cropY1=7&cropY2=883,wu shaoxun,236,Food and Beverage  ==> wine,7,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,70,Male,https://specials-images.forbesimg.com/imageserve/5a05f5144bbe6f37dda229ca/416x416.jpg?background=000000&cropX1=358&cropX2=3209&cropY1=6&cropY2=2855,liu yongxing,249,Service  ==> diversified,6,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,62,Male,https:http://specials-images.forbesimg.com/imageserve/c6c43100dbae28f161e7055a5e75f340/416x416.jpg?background=000000&cropX1=8&cropX2=591&cropY1=105&cropY2=688,lin xiucheng,360,Technology  ==> electronics,5,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,66,None,https://specials-images.forbesimg.com/imageserve/5a7cdce9a7ea431690130bca/416x416.jpg?background=000000&cropX1=402&cropX2=3421&cropY1=20&cropY2=3036,liu yonghao,410,Service  ==> agribusiness,4,0
1,China,"1,400,795,960",18.1%,8 Jan 2020,National population clock,57,Male,https://specials-images.forbesimg.com/imageserve/5a8093dca7ea431690133a06/416x416.jpg?background=000000&cropX1=4&cropX2=1510&cropY1=7&cropY2=1512,yu yong,419,Finance and Investments  ==> mining,4,0
