id,name,position
4656,jeff bezos,1
1874,bill gates,2
6703,warren buffett,3
2637,bernard arnault,4
8242,mark zuckerberg,5
9133,amancio ortega,6
3663,carlos slim helu,7
5909,charles koch,8
9549,david koch,9
2989,larry ellison,10
6660,michael bloomberg,11
3915,larry page,12
9455,sergey brin,13
3819,jim walton,14
6275,s. robson walton,15
5873,alice walton,16
2101,ma huateng,17
3059,francoise bettencourt meyers,18
9144,mukesh ambani,19
1251,jack ma,20
8666,sheldon adelson,21
3229,steve ballmer,22
6437,li ka-shing,23
9005,hui ka yan,24
7716,lee shau kee,25
6371,wang jianlin,26
7747,beate heister & karl albrecht jr.,27
4351,phil knight,28
3423,jorge paulo lemann,29
6166,francois pinault,30
4928,georg schaeffler,31
4737,susanne klatten,32
6590,david thomson,33
8384,jacqueline mars,34
3403,john mars,35
9205,joseph safra,36
7639,giovanni ferrero,37
3327,dietrich mateschitz,38
5484,michael dell,39
2851,masayoshi son,40
7374,serge dassault,41
5531,stefan quandt,42
4838,yang huiyan,43
3757,paul allen,44
9982,leonardo del vecchio,45
1673,dieter schwarz,46
9015,thomas peterffy,47
1901,"theo albrecht, jr.",48
2061,len blavatnik,49
1347,he xiangjian,50
6109,lui che woo,51
7585,james simons,52
6716,henry sy,53
2370,elon musk,54
3034,hinduja family,55
4473,tadashi yanai,56
1566,vladimir lisin,57
8869,laurene powell jobs,58
9514,azim premji,59
4813,alexey mordashov,60
6066,lee kun-hee,61
1417,lakshmi mittal,62
1535,wang wei,63
3401,leonid mikhelson,64
2094,charoen sirivadhanabhakdi,65
9350,pallonji mistry,66
2708,ray dalio,67
2846,takemitsu takizaki,68
9988,william ding,69
6475,r. budi hartono,70
8590,gina rinehart,71
5608,german larrea mota velasco,72
7739,carl icahn,73
9667,stefan persson,74
7532,michael hartono,75
1466,joseph lau,76
5052,thomas & raymond kwok,77
8959,vagit alekperov,78
5547,james ratcliffe,79
4353,donald bren,80
4204,iris fontbona,81
8403,gennady timchenko,82
8929,abigail johnson,83
2455,vladimir potanin,84
8484,lukas walton,85
9053,charlene de carvalho-heineken,86
1615,zhang zhidong,87
8486,petr kellner,88
3458,andrey melnichenko,89
4132,david & simon reuben,90
5068,klaus-michael kuehne,91
4971,li shufu,92
8227,mikhail fridman,93
4966,rupert murdoch,94
7809,dhanin chearavanont,95
6672,robert kuok,96
3917,emmanuel besnier,97
6221,shiv nadar,98
1963,viktor vekselberg,99
5944,aliko dangote,100
9147,harold hamm,101
2290,steve cohen,102
6385,dustin moskovitz,103
7840,marcel herrmann telles,104
4860,reinhold wuerth,105
2044,charles ergen,106
4328,eric schmidt,107
1871,philip anschutz,108
7162,jim kennedy,109
2712,blair parry-okeden,110
2499,alain wertheimer,111
8238,gerard wertheimer,112
8408,leonard lauder,113
6707,heinz hermann thiele,114
8989,dilip shanghvi,115
6331,hasso plattner,116
3789,stephen schwarzman,117
3946,lei jun,118
7272,hans rausing,119
4894,alisher usmanov,120
8706,donald newhouse,121
9361,peter woo,122
8343,luis carlos sarmiento,123
1061,robin li,124
1020,carlos alberto sicupira,125
2862,seo jung-jin,126
8526,kumar birla,127
6776,alexander otto,128
9597,stefano pessina,129
8655,udo & harald tschira,130
2429,wang wenyin,131
4916,andrew beal,132
7872,lee man tat,133
9328,"john menard, jr.",134
8529,xu shihui,135
9399,zhou hongyi,136
6654,gong hongjia,137
